cell_id,latitude,longitude,land_cover_type,vegetation_density,forest_percentage,water_percentage,urban_percentage
LC02414,19.918552,74.450758,Urban/Built-up,0.576,17.2,2.1,62.4
LC02415,19.812076,74.406445,Agricultural Land,0.413,19.9,3.8,13.5
LC02416,19.868602,74.577667,Agricultural Land,0.332,18.4,5.5,13.2
LC02417,19.854892,74.437698,Agricultural Land,0.717,9.2,4.1,1.8
LC02418,19.915018,74.48146,Agricultural Land,0.66,8.5,6.7,12.4
LC02419,19.809627,74.478145,Urban/Built-up,0.193,2.3,2.2,53.9
LC02420,19.841819,74.372372,Barren/Fallow,0.717,3.2,2.5,7.3
LC02421,19.807679,74.459993,Barren/Fallow,0.887,13.8,6.8,11.6
LC02422,19.897491,74.593045,Grassland,0.676,6.7,1.5,2.2
LC02423,19.934243,74.469532,Agricultural Land,0.734,17.2,2.8,14.7
LC02424,19.856162,74.394988,Agricultural Land,0.53,11.1,2.6,5.0
LC02425,19.83111,74.441271,Urban/Built-up,0.432,5.2,0.7,98.6
LC02426,19.818996,74.400582,Agricultural Land,0.291,18.6,0.5,9.7
LC02427,19.942725,74.566368,Urban/Built-up,0.312,15.0,1.6,66.3
LC02428,19.858327,74.370129,Urban/Built-up,0.276,8.3,5.3,98.6
LC02429,19.901094,74.583152,Agricultural Land,0.54,9.6,4.1,0.8
LC02430,19.891074,74.522076,Barren/Fallow,0.155,13.7,5.0,3.8
LC02431,19.812253,74.371251,Agricultural Land,0.501,10.6,7.6,14.5
LC02432,19.936694,74.586086,Agricultural Land,0.75,14.8,5.3,13.1
LC02433,19.862183,74.375182,Forest/Grove,0.17,83.2,5.6,4.1
LC02434,19.909676,74.438058,Urban/Built-up,0.21,8.6,4.3,87.3
LC02435,19.855921,74.525119,Water Body,0.778,16.1,97.5,14.3
LC02436,19.914359,74.428701,Water Body,0.752,15.9,77.2,3.6
LC02437,19.856967,74.387563,Grassland,0.693,19.2,0.9,8.9
LC02438,19.830524,74.409143,Agricultural Land,0.868,9.2,5.9,7.5
LC02439,19.849381,74.503452,Forest/Grove,0.38,67.3,1.7,7.3
LC02440,19.871716,74.526584,Agricultural Land,0.347,6.8,3.6,1.6
LC02441,19.893694,74.557968,Grassland,0.626,17.0,3.0,0.2
LC02442,19.815133,74.366383,Grassland,0.093,6.9,2.3,13.7
LC02443,19.891867,74.589261,Agricultural Land,0.675,13.6,4.9,9.6
LC02444,19.819361,74.589925,Agricultural Land,0.633,12.7,0.9,11.0
LC02445,19.892811,74.38166,Barren/Fallow,0.556,1.1,4.6,8.2
LC02446,19.944679,74.472832,Urban/Built-up,0.382,1.9,5.4,88.3
LC02447,19.943224,74.363251,Agricultural Land,0.645,14.6,7.2,0.3
LC02448,19.947933,74.480598,Agricultural Land,0.441,16.2,2.8,12.5
LC02449,19.941842,74.459466,Agricultural Land,0.658,9.0,3.4,6.0
LC02450,19.80266,74.554087,Barren/Fallow,0.528,14.0,4.5,10.1
LC02451,19.818085,74.540133,Agricultural Land,0.44,16.1,3.5,0.8
LC02452,19.868599,74.37474,Agricultural Land,0.101,15.8,0.7,8.0
LC02453,19.848343,74.40646,Urban/Built-up,0.039,5.3,7.8,79.7
LC02454,19.942725,74.487825,Water Body,0.746,11.9,99.9,3.4
LC02455,19.88981,74.420114,Agricultural Land,0.651,11.5,1.5,10.6
LC02456,19.841132,74.41862,Forest/Grove,0.665,68.2,5.2,9.6
LC02457,19.89493,74.497198,Forest/Grove,0.952,73.0,1.7,10.8
LC02458,19.907079,74.390598,Water Body,0.875,3.1,85.1,7.4
LC02459,19.895529,74.416939,Agricultural Land,0.354,1.5,4.6,3.3
LC02460,19.861604,74.396961,Barren/Fallow,0.42,4.4,7.2,4.5
LC02461,19.822424,74.489739,Agricultural Land,0.563,11.0,3.1,1.0
LC02462,19.879115,74.590981,Agricultural Land,0.776,11.5,3.0,4.5
LC02463,19.845115,74.56472,Agricultural Land,0.782,2.0,6.1,1.6
LC02464,19.813936,74.448505,Grassland,0.196,13.7,2.0,0.5
LC02465,19.81473,74.355827,Grassland,0.358,18.6,0.8,8.8
LC02466,19.908675,74.370287,Agricultural Land,0.333,14.1,1.9,7.1
LC02467,19.94757,74.584355,Barren/Fallow,0.74,16.6,2.3,8.1
LC02468,19.887846,74.573107,Agricultural Land,0.572,6.9,4.0,10.8
LC02469,19.904531,74.452742,Water Body,0.752,6.4,72.7,2.3
LC02470,19.891336,74.401919,Urban/Built-up,0.764,3.9,5.6,87.0
LC02471,19.916206,74.372924,Barren/Fallow,0.329,3.7,3.9,13.2
LC02472,19.824679,74.534346,Grassland,0.363,7.3,1.7,6.2
LC02473,19.822703,74.442023,Wetland,0.389,2.7,40.3,13.6
LC02474,19.911601,74.38113,Agricultural Land,0.528,4.7,7.7,5.0
LC02475,19.908836,74.549439,Urban/Built-up,0.34,10.4,2.7,66.1
LC02476,19.810136,74.352008,Agricultural Land,0.12,17.2,4.9,12.2
LC02477,19.87357,74.471009,Grassland,0.553,15.4,2.4,7.2
LC02478,19.869934,74.413567,Grassland,0.735,3.1,6.6,5.4
LC02479,19.839793,74.52831,Agricultural Land,0.111,5.0,6.9,6.0
LC02480,19.874933,74.424494,Grassland,0.472,15.7,0.6,9.3
LC02481,19.862044,74.486013,Urban/Built-up,0.524,0.7,6.0,87.5
LC02482,19.846786,74.504886,Urban/Built-up,0.309,3.0,3.3,95.5
LC02483,19.905893,74.394963,Agricultural Land,0.324,4.4,0.5,12.5
LC02484,19.830838,74.579747,Agricultural Land,0.293,17.3,2.4,2.7
LC02485,19.878251,74.498201,Agricultural Land,0.293,15.2,2.8,9.3
LC02486,19.890282,74.505763,Agricultural Land,0.668,16.1,6.9,3.0
LC02487,19.818359,74.482074,Forest/Grove,0.644,65.0,5.3,8.6
LC02488,19.934941,74.595444,Agricultural Land,0.377,0.3,1.9,1.1
LC02489,19.849273,74.498579,Barren/Fallow,0.604,16.3,6.4,0.3
LC02490,19.862189,74.545851,Agricultural Land,0.682,2.0,1.4,2.9
LC02491,19.90182,74.47522,Urban/Built-up,0.855,9.9,3.7,84.2
LC02492,19.815569,74.399595,Urban/Built-up,0.502,6.1,6.2,53.0
LC02493,19.837783,74.408978,Barren/Fallow,0.072,6.1,0.9,1.1
LC02494,19.858024,74.395005,Barren/Fallow,0.378,7.9,7.6,1.3
LC02495,19.8685,74.492728,Urban/Built-up,0.669,9.2,7.2,83.1
LC02496,19.858936,74.439729,Water Body,0.533,5.0,85.5,5.5
LC02497,19.927756,74.481589,Agricultural Land,0.263,6.9,4.2,7.2
LC02498,19.816443,74.371048,Agricultural Land,0.075,8.0,3.3,6.7
LC02499,19.881119,74.38553,Agricultural Land,0.11,11.4,2.3,5.4
LC02500,19.826607,74.518719,Agricultural Land,0.827,14.7,3.7,6.7
LC02501,19.855733,74.442825,Agricultural Land,0.7,18.9,6.0,13.1
LC02502,19.937756,74.416476,Wetland,0.905,2.7,32.6,13.9
LC02503,19.833124,74.511704,Grassland,0.387,5.4,0.9,2.4
LC02504,19.874161,74.512257,Wetland,0.4,19.7,42.7,7.5
LC02505,19.867487,74.378878,Urban/Built-up,0.632,2.5,2.9,71.3
LC02506,19.928854,74.5835,Wetland,0.52,10.1,22.8,12.2
LC02507,19.850248,74.58465,Agricultural Land,0.227,16.3,2.7,13.8
LC02508,19.832367,74.571171,Agricultural Land,0.335,0.7,6.4,4.1
LC02509,19.895355,74.449543,Agricultural Land,0.282,19.6,7.6,13.6
LC02510,19.852427,74.573051,Agricultural Land,0.318,0.9,7.2,6.2
LC02511,19.929526,74.472885,Agricultural Land,0.895,19.5,7.3,0.4
LC02512,19.847028,74.518676,Agricultural Land,0.584,17.5,7.8,5.8
LC02513,19.857307,74.36163,Agricultural Land,0.595,7.9,2.2,12.8
LC02514,19.912478,74.536471,Grassland,0.493,2.0,7.1,7.4
LC02515,19.80835,74.510877,Wetland,0.302,10.6,30.1,6.9
LC02516,19.88834,74.388486,Agricultural Land,0.931,1.4,0.4,9.7
LC02517,19.840389,74.525984,Urban/Built-up,0.578,13.8,4.4,97.0
LC02518,19.810065,74.576627,Barren/Fallow,0.46,18.1,3.8,3.4
LC02519,19.91989,74.531739,Agricultural Land,0.494,6.1,3.0,13.2
LC02520,19.879831,74.408037,Agricultural Land,0.602,8.3,4.2,12.9
LC02521,19.853016,74.412885,Barren/Fallow,0.549,2.7,5.8,12.6
LC02522,19.824126,74.36721,Agricultural Land,0.49,18.7,1.8,13.3
LC02523,19.913896,74.542938,Grassland,0.826,14.7,7.3,0.9
LC02524,19.907778,74.463543,Barren/Fallow,0.531,0.6,0.5,4.2
LC02525,19.862547,74.411954,Grassland,0.611,14.0,7.2,13.4
LC02526,19.859345,74.361731,Agricultural Land,0.599,13.9,6.1,11.0
LC02527,19.890619,74.509471,Wetland,0.908,0.8,40.1,12.3
LC02528,19.83128,74.462149,Grassland,0.601,13.8,2.3,10.3
LC02529,19.827752,74.565653,Agricultural Land,0.247,14.4,7.7,3.2
LC02530,19.84633,74.59045,Urban/Built-up,0.044,9.9,6.5,63.3
LC02531,19.842353,74.437878,Grassland,0.739,4.2,6.4,12.2
LC02532,19.81411,74.441327,Agricultural Land,0.264,0.6,6.0,6.3
LC02533,19.942064,74.385992,Agricultural Land,0.137,11.4,3.5,8.9
LC02534,19.803666,74.464522,Grassland,0.745,15.0,2.8,1.2
LC02535,19.920564,74.40016,Agricultural Land,0.349,16.6,5.4,11.2
LC02536,19.899668,74.451502,Urban/Built-up,0.341,8.4,4.3,50.2
LC02537,19.939674,74.549759,Wetland,0.19,9.1,43.7,8.5
LC02538,19.865874,74.478746,Wetland,0.527,19.4,52.3,5.9
LC02539,19.919799,74.487486,Agricultural Land,0.396,13.0,2.3,9.1
LC02540,19.9482,74.455199,Wetland,0.409,5.8,26.9,10.6
LC02541,19.836613,74.392145,Barren/Fallow,0.831,3.8,0.7,2.1
LC02542,19.894364,74.491921,Forest/Grove,0.414,77.8,1.5,9.7
LC02543,19.931686,74.514152,Barren/Fallow,0.811,11.2,6.9,11.9
LC02544,19.903592,74.584631,Forest/Grove,0.551,75.6,1.8,7.9
LC02545,19.822249,74.573644,Barren/Fallow,0.294,15.8,4.6,2.3
LC02546,19.875002,74.377633,Agricultural Land,0.391,2.7,0.9,13.1
LC02547,19.857208,74.54138,Agricultural Land,0.348,17.9,2.7,9.2
LC02548,19.830789,74.383709,Barren/Fallow,0.914,8.2,4.7,7.8
LC02549,19.868833,74.474988,Forest/Grove,0.538,48.1,2.0,4.6
LC02550,19.908017,74.546312,Agricultural Land,0.45,11.8,2.3,13.2
LC02551,19.888914,74.4916,Water Body,0.917,11.7,91.9,3.1
LC02552,19.946298,74.482341,Agricultural Land,0.644,17.9,5.5,13.7
LC02553,19.84301,74.454686,Grassland,0.347,17.9,0.1,13.6
LC02554,19.804055,74.588188,Agricultural Land,0.644,7.7,4.2,6.8
LC02555,19.832205,74.479188,Barren/Fallow,0.472,16.4,2.3,10.2
LC02556,19.86341,74.499724,Urban/Built-up,0.809,11.3,1.5,91.3
LC02557,19.893984,74.356711,Barren/Fallow,0.442,4.0,4.1,4.4
LC02558,19.941864,74.45001,Agricultural Land,0.596,3.3,1.6,1.7
LC02559,19.886205,74.45784,Urban/Built-up,0.15,15.1,4.0,65.6
LC02560,19.920566,74.584233,Agricultural Land,0.633,13.8,3.0,8.3
LC02561,19.869407,74.412576,Grassland,0.81,17.7,5.6,8.7
LC02562,19.831,74.587987,Agricultural Land,0.298,18.7,3.3,9.4
LC02563,19.942193,74.355622,Agricultural Land,0.407,7.9,5.8,2.3
LC02564,19.892993,74.416415,Grassland,0.232,4.2,4.2,11.8
LC02565,19.823372,74.467419,Agricultural Land,0.915,19.7,2.0,9.7
LC02566,19.85992,74.43337,Barren/Fallow,0.683,19.6,3.9,3.1
LC02567,19.919392,74.454132,Agricultural Land,0.372,0.2,2.6,11.6
LC02568,19.919828,74.496189,Agricultural Land,0.203,3.6,4.8,10.1
LC02569,19.840763,74.49075,Agricultural Land,0.205,1.2,5.7,1.9
LC02570,19.816847,74.395831,Grassland,0.521,11.3,6.1,4.3
LC02571,19.930092,74.490458,Agricultural Land,0.597,11.6,5.0,14.6
LC02572,19.807336,74.500806,Agricultural Land,0.415,2.6,7.0,4.8
LC02573,19.911162,74.494044,Grassland,0.695,10.5,6.2,9.4
LC02574,19.801535,74.473908,Agricultural Land,0.406,17.8,5.4,6.7
LC02575,19.846079,74.576188,Agricultural Land,0.186,8.6,3.0,0.8
LC02576,19.858292,74.515241,Forest/Grove,0.426,71.0,3.6,8.9
LC02577,19.91331,74.46101,Forest/Grove,0.56,53.8,4.4,8.3
LC02578,19.927944,74.407462,Agricultural Land,0.571,16.5,6.7,4.9
LC02579,19.913845,74.505736,Agricultural Land,0.48,16.2,6.8,9.4
LC02580,19.934799,74.453776,Urban/Built-up,0.691,2.4,3.0,54.4
LC02581,19.910063,74.507126,Forest/Grove,0.295,54.9,3.6,7.1
LC02582,19.905224,74.553538,Agricultural Land,0.427,6.0,6.4,2.5
LC02583,19.929817,74.509853,Urban/Built-up,0.685,13.6,1.6,65.7
LC02584,19.816492,74.403118,Forest/Grove,0.678,81.5,6.6,13.6
LC02585,19.880842,74.527254,Barren/Fallow,0.405,5.0,4.1,12.0
LC02586,19.86832,74.376035,Grassland,0.506,12.9,7.4,14.8
LC02587,19.905225,74.351657,Wetland,0.333,1.7,25.6,14.4
LC02588,19.913228,74.436446,Barren/Fallow,0.701,18.8,1.0,12.1
LC02589,19.910702,74.469434,Forest/Grove,0.156,41.2,6.6,7.3
LC02590,19.849835,74.482392,Urban/Built-up,0.479,11.7,6.2,74.8
LC02591,19.852764,74.56287,Agricultural Land,0.117,16.8,2.6,1.8
LC02592,19.803898,74.593342,Agricultural Land,0.583,17.7,2.3,6.6
LC02593,19.814325,74.555485,Agricultural Land,0.595,15.8,7.0,2.5
LC02594,19.87425,74.469444,Agricultural Land,0.447,16.7,1.6,7.4
LC02595,19.923714,74.368514,Agricultural Land,0.36,3.4,5.0,8.5
LC02596,19.893167,74.54603,Agricultural Land,0.845,11.9,1.9,6.8
LC02597,19.828931,74.519229,Agricultural Land,0.479,16.8,4.0,11.7
LC02598,19.914045,74.3686,Grassland,0.559,17.1,3.2,14.6
LC02599,19.809883,74.40301,Agricultural Land,0.326,14.2,2.9,3.5
LC02600,19.87185,74.423793,Agricultural Land,0.217,18.4,1.2,11.6
LC02601,19.845899,74.44039,Water Body,0.507,1.5,89.8,10.2
LC02602,19.872387,74.56209,Barren/Fallow,0.326,12.2,0.9,12.1
LC02603,19.886744,74.425511,Agricultural Land,0.447,11.7,1.0,4.9
LC02604,19.810931,74.452004,Urban/Built-up,0.735,13.2,0.7,63.6
LC02605,19.859964,74.352397,Barren/Fallow,0.79,1.6,2.2,1.7
LC02606,19.872999,74.504344,Agricultural Land,0.151,19.9,2.8,14.3
LC02607,19.842458,74.456924,Barren/Fallow,0.69,12.8,3.9,3.5
LC02608,19.865892,74.485123,Agricultural Land,0.656,8.9,2.8,6.1
LC02609,19.903772,74.532364,Forest/Grove,0.757,85.0,0.3,11.0
LC02610,19.809997,74.590235,Agricultural Land,0.407,17.6,0.2,14.4
LC02611,19.824463,74.568943,Agricultural Land,0.102,18.9,6.4,13.3
LC02612,19.84125,74.49139,Agricultural Land,0.902,13.5,4.5,2.9
LC02613,19.882397,74.418787,Agricultural Land,0.573,2.7,3.8,5.6
LC02614,19.911128,74.358871,Agricultural Land,0.684,17.6,7.5,9.2
LC02615,19.850594,74.49459,Forest/Grove,0.497,86.1,3.8,14.2
LC02616,19.884813,74.501587,Forest/Grove,0.515,71.6,6.9,3.9
LC02617,19.945666,74.572188,Agricultural Land,0.625,3.3,6.2,11.3
LC02618,19.81433,74.356592,Agricultural Land,0.143,4.0,2.3,8.5
LC02619,19.826372,74.589453,Urban/Built-up,0.608,7.2,0.1,89.1
LC02620,19.817483,74.44751,Forest/Grove,0.34,85.0,7.9,9.1
LC02621,19.8345,74.592149,Agricultural Land,0.851,7.4,1.6,1.6
LC02622,19.801245,74.390566,Barren/Fallow,0.451,2.5,2.8,9.6
LC02623,19.813605,74.36418,Urban/Built-up,0.331,19.5,4.6,60.0
LC02624,19.942487,74.471997,Agricultural Land,0.325,1.8,5.1,8.0
LC02625,19.854491,74.5389,Wetland,0.664,6.5,49.8,11.9
LC02626,19.902109,74.532294,Water Body,0.409,12.8,79.9,0.4
LC02627,19.808075,74.587285,Barren/Fallow,0.783,16.8,3.5,0.3
LC02628,19.918976,74.562124,Urban/Built-up,0.616,15.3,2.6,95.4
LC02629,19.931911,74.463946,Agricultural Land,0.21,10.5,7.8,12.7
LC02630,19.926355,74.579222,Forest/Grove,0.803,63.1,0.7,8.7
LC02631,19.924106,74.509264,Wetland,0.298,16.7,44.7,0.6
LC02632,19.921899,74.399656,Forest/Grove,0.419,70.7,3.3,12.1
LC02633,19.859542,74.372654,Agricultural Land,0.334,10.4,6.6,4.6
LC02634,19.855559,74.471513,Grassland,0.326,9.3,7.5,0.7
LC02635,19.898152,74.455669,Urban/Built-up,0.322,12.4,5.2,78.1
LC02636,19.843976,74.488085,Forest/Grove,0.521,58.9,3.6,2.2
LC02637,19.827243,74.561185,Agricultural Land,0.599,18.9,1.5,4.8
LC02638,19.881797,74.562589,Barren/Fallow,0.21,2.4,2.4,9.2
LC02639,19.879736,74.366494,Urban/Built-up,0.427,13.3,3.6,74.5
LC02640,19.868224,74.544734,Agricultural Land,0.306,12.2,3.8,7.1
LC02641,19.807944,74.472155,Agricultural Land,0.416,8.7,1.9,3.8
LC02642,19.887036,74.410415,Water Body,0.668,1.2,86.0,1.1
LC02643,19.89251,74.528079,Water Body,0.9,18.5,93.8,1.5
LC02644,19.917193,74.472968,Barren/Fallow,0.429,6.0,7.5,10.4
LC02645,19.806205,74.425602,Urban/Built-up,0.354,13.6,4.0,91.0
LC02646,19.9271,74.404684,Urban/Built-up,0.492,1.3,7.6,88.9
LC02647,19.812916,74.361787,Urban/Built-up,0.277,7.8,7.5,55.3
LC02648,19.815917,74.409906,Water Body,0.465,15.8,90.7,6.1
LC02649,19.885715,74.580613,Forest/Grove,0.188,76.2,3.4,8.8
LC02650,19.889632,74.570227,Agricultural Land,0.473,6.5,4.5,10.1
LC02651,19.919513,74.482839,Agricultural Land,0.364,1.1,7.4,14.5
LC02652,19.894311,74.439873,Grassland,0.558,0.9,4.7,0.4
LC02653,19.948766,74.565823,Forest/Grove,0.316,86.2,7.2,0.8
LC02654,19.817522,74.543077,Urban/Built-up,0.365,6.3,0.5,72.7
LC02655,19.886948,74.441448,Agricultural Land,0.901,9.3,3.7,10.0
LC02656,19.859215,74.371412,Urban/Built-up,0.487,4.4,0.8,71.2
LC02657,19.871783,74.459031,Agricultural Land,0.462,3.9,5.9,3.1
LC02658,19.846013,74.387182,Agricultural Land,0.259,12.6,1.0,4.9
LC02659,19.897308,74.376452,Grassland,0.475,9.2,1.7,2.5
LC02660,19.936675,74.475617,Urban/Built-up,0.556,13.0,2.6,68.6
LC02661,19.845315,74.426542,Agricultural Land,0.63,1.6,7.3,11.0
LC02662,19.92568,74.358064,Agricultural Land,0.604,11.0,4.1,8.8
LC02663,19.813699,74.569355,Water Body,0.774,3.7,84.3,8.5
LC02664,19.919564,74.356936,Agricultural Land,0.329,6.3,3.1,6.9
LC02665,19.846298,74.505194,Barren/Fallow,0.299,16.8,4.3,6.4
LC02666,19.938557,74.420511,Urban/Built-up,0.219,16.3,5.8,79.8
LC02667,19.822002,74.545569,Urban/Built-up,0.462,0.8,3.9,57.7
LC02668,19.814347,74.570931,Agricultural Land,0.149,7.6,2.6,0.1
LC02669,19.87264,74.500095,Water Body,0.422,4.4,92.0,4.2
LC02670,19.84791,74.361232,Agricultural Land,0.572,6.4,4.3,4.5
LC02671,19.900021,74.564068,Water Body,0.602,16.1,63.3,4.1
LC02672,19.838171,74.437862,Grassland,0.295,14.2,5.7,9.7
LC02673,19.864874,74.411473,Agricultural Land,0.845,4.6,1.7,8.1
LC02674,19.86863,74.474986,Grassland,0.268,5.8,5.9,1.2
LC02675,19.813883,74.442427,Grassland,0.324,15.6,3.0,13.8
LC02676,19.836075,74.458639,Water Body,0.165,9.7,61.9,6.6
LC02677,19.88423,74.568789,Water Body,0.937,18.3,92.1,2.6
LC02678,19.838041,74.401117,Agricultural Land,0.676,3.2,2.2,5.0
LC02679,19.917845,74.382553,Agricultural Land,0.411,13.0,6.7,2.5
LC02680,19.809302,74.380036,Water Body,0.126,12.2,96.3,1.8
LC02681,19.917837,74.470012,Grassland,0.869,6.9,0.2,5.3
LC02682,19.848041,74.567904,Agricultural Land,0.234,7.8,3.9,4.9
LC02683,19.93195,74.590178,Agricultural Land,0.263,11.0,2.9,11.0
LC02684,19.896381,74.491552,Agricultural Land,0.214,13.7,2.4,0.6
LC02685,19.836379,74.486757,Forest/Grove,0.566,64.3,7.2,12.5
LC02686,19.93454,74.45913,Forest/Grove,0.859,44.2,7.1,0.3
LC02687,19.909589,74.527457,Grassland,0.631,3.2,1.3,8.7
LC02688,19.832001,74.490186,Agricultural Land,0.652,0.7,4.1,9.2
LC02689,19.810648,74.44361,Grassland,0.83,17.1,6.8,5.7
LC02690,19.944698,74.59377,Urban/Built-up,0.465,13.7,4.8,75.9
LC02691,19.885194,74.372713,Water Body,0.434,1.7,75.3,8.7
LC02692,19.845167,74.386307,Urban/Built-up,0.827,5.5,5.0,92.7
LC02693,19.881621,74.521286,Agricultural Land,0.392,8.3,3.1,6.4
LC02694,19.86024,74.563729,Agricultural Land,0.61,12.6,2.5,11.4
LC02695,19.862965,74.390989,Water Body,0.5,11.2,96.8,12.4
LC02696,19.850074,74.476135,Grassland,0.241,6.5,6.7,3.3
LC02697,19.81835,74.476881,Barren/Fallow,0.074,19.2,3.0,14.5
LC02698,19.873217,74.501713,Urban/Built-up,0.233,19.2,4.7,82.3
LC02699,19.864882,74.413214,Barren/Fallow,0.728,14.9,2.7,2.5
LC02700,19.92869,74.428596,Grassland,0.276,12.6,2.5,4.2
LC02701,19.887575,74.364068,Wetland,0.884,6.8,34.3,7.2
LC02702,19.816331,74.393509,Barren/Fallow,0.659,11.4,6.5,7.3
LC02703,19.937856,74.520822,Barren/Fallow,0.292,16.9,0.0,3.6
LC02704,19.858222,74.455325,Agricultural Land,0.867,3.9,4.5,8.4
LC02705,19.912011,74.588388,Grassland,0.435,6.2,6.5,9.9
LC02706,19.942044,74.516237,Wetland,0.756,11.4,55.8,9.7
LC02707,19.833717,74.353112,Agricultural Land,0.375,11.0,5.6,10.9
LC02708,19.820976,74.52385,Water Body,0.656,17.7,70.9,14.4
LC02709,19.890955,74.449724,Water Body,0.333,16.3,71.6,3.3
LC02710,19.801948,74.417685,Grassland,0.555,6.4,6.6,14.4
LC02711,19.869734,74.426515,Grassland,0.302,9.7,3.1,4.9
LC02712,19.935294,74.373185,Barren/Fallow,0.437,14.8,1.4,8.1
LC02713,19.909991,74.424652,Water Body,0.345,3.4,94.2,2.5
LC02714,19.814664,74.419433,Water Body,0.292,7.1,68.5,6.0
LC02715,19.802696,74.352035,Grassland,0.71,2.1,2.5,12.6
LC02716,19.825046,74.420291,Grassland,0.76,2.3,2.4,6.4
LC02717,19.853996,74.387529,Wetland,0.623,12.1,31.2,13.8
LC02718,19.932303,74.353014,Agricultural Land,0.143,13.0,5.4,6.4
LC02719,19.850146,74.435589,Agricultural Land,0.352,2.3,5.7,1.5
LC02720,19.940337,74.400667,Agricultural Land,0.525,7.7,4.3,13.9
LC02721,19.886228,74.556392,Wetland,0.509,11.9,37.1,4.7
LC02722,19.859296,74.446048,Forest/Grove,0.386,73.7,7.5,5.5
LC02723,19.825058,74.363709,Agricultural Land,0.775,19.2,4.8,3.4
LC02724,19.906375,74.520314,Wetland,0.282,16.8,28.5,9.5
LC02725,19.878611,74.500028,Urban/Built-up,0.286,12.9,6.3,79.1
LC02726,19.847116,74.427935,Forest/Grove,0.892,60.5,4.2,10.2
LC02727,19.906729,74.57732,Agricultural Land,0.646,12.5,4.1,10.0
LC02728,19.845383,74.464173,Grassland,0.262,16.0,6.1,9.2
LC02729,19.877966,74.40382,Agricultural Land,0.52,2.2,5.4,7.5
LC02730,19.81411,74.426782,Wetland,0.44,19.1,54.0,8.9
LC02731,19.806019,74.355275,Barren/Fallow,0.072,12.6,0.2,11.0
LC02732,19.834908,74.510589,Barren/Fallow,0.426,11.4,6.1,1.6
LC02733,19.848015,74.581439,Agricultural Land,0.46,11.9,3.7,14.9
LC02734,19.889711,74.535736,Wetland,0.873,3.4,48.6,7.5
LC02735,19.925735,74.54319,Barren/Fallow,0.518,0.2,4.8,12.0
LC02736,19.824162,74.418846,Water Body,0.184,18.4,96.3,7.6
LC02737,19.837425,74.547576,Urban/Built-up,0.954,8.3,2.4,54.0
LC02738,19.852069,74.544599,Urban/Built-up,0.42,11.7,4.2,64.2
LC02739,19.847314,74.394776,Barren/Fallow,0.282,3.0,1.5,6.1
LC02740,19.875902,74.354,Grassland,0.463,19.3,5.4,13.7
LC02741,19.933405,74.474194,Agricultural Land,0.555,6.4,2.5,2.6
LC02742,19.899365,74.384596,Grassland,0.65,9.5,2.0,6.7
LC02743,19.820086,74.367162,Agricultural Land,0.74,6.0,2.9,2.2
LC02744,19.881956,74.356451,Agricultural Land,0.726,11.4,5.4,14.6
LC02745,19.889639,74.478934,Wetland,0.29,19.0,56.7,6.9
LC02746,19.838987,74.462958,Agricultural Land,0.686,11.9,3.8,10.2
LC02747,19.945605,74.52395,Agricultural Land,0.769,5.4,2.9,10.7
LC02748,19.853277,74.575788,Grassland,0.687,7.6,7.8,11.2
LC02749,19.858298,74.425478,Urban/Built-up,0.445,15.2,3.1,72.5
LC02750,19.849488,74.469617,Barren/Fallow,0.777,15.2,4.0,4.0
LC02751,19.870557,74.381721,Agricultural Land,0.684,11.2,3.1,14.0
LC02752,19.84162,74.48718,Grassland,0.574,13.8,0.5,7.0
LC02753,19.819352,74.392802,Agricultural Land,0.399,3.3,5.9,0.3
LC02754,19.806398,74.518878,Agricultural Land,0.66,14.3,4.9,12.7
LC02755,19.818854,74.480532,Agricultural Land,0.626,1.7,6.7,1.4
LC02756,19.841194,74.565577,Agricultural Land,0.609,11.7,3.7,7.0
LC02757,19.823461,74.437976,Forest/Grove,0.292,92.4,0.1,11.4
LC02758,19.864117,74.428152,Agricultural Land,0.306,4.6,5.9,0.1
LC02759,19.853818,74.457893,Agricultural Land,0.641,15.6,0.5,3.1
LC02760,19.908598,74.599175,Urban/Built-up,0.638,4.2,7.8,80.3
LC02761,19.863108,74.448214,Forest/Grove,0.128,42.7,4.2,3.1
LC02762,19.93056,74.390828,Agricultural Land,0.401,6.3,2.4,6.6
LC02763,19.943615,74.404007,Forest/Grove,0.515,66.7,8.0,14.2
LC02764,19.919294,74.450907,Agricultural Land,0.542,14.0,0.8,1.5
LC02765,19.884942,74.418355,Agricultural Land,0.181,15.7,0.6,2.4
LC02766,19.880628,74.450653,Forest/Grove,0.296,43.7,7.2,12.8
LC02767,19.8739,74.499699,Grassland,0.66,11.2,5.5,9.9
LC02768,19.919007,74.500559,Grassland,0.34,2.4,3.4,1.5
LC02769,19.915812,74.518714,Urban/Built-up,0.814,0.1,5.2,70.8
LC02770,19.823379,74.353358,Barren/Fallow,0.147,4.9,2.2,2.1
LC02771,19.888667,74.56455,Agricultural Land,0.261,1.7,7.0,6.4
LC02772,19.856037,74.505883,Agricultural Land,0.291,12.6,4.0,8.5
LC02773,19.942243,74.594644,Agricultural Land,0.625,10.4,2.2,5.4
LC02774,19.926616,74.516487,Agricultural Land,0.36,11.3,0.5,6.0
LC02775,19.938456,74.475768,Agricultural Land,0.349,15.4,0.8,13.8
